hostel_name,City,latitude,longitude,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security,hostel_reviews
Net Guru PG Girls,Indore,22.6895622,75.8658403,3.3,Bhawarkuan; Indore,6Votes,0731 - 4075559,9755588862,Ahilya Puri; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,NA,5500,5200,For Girls,NonAC,Wifi,Mess,Cleaning,Security,warwick bad good reviews warwick shocks staff quite rude rooms fairly dirty; cut asked bandaid did not; requested bottle opener did not better service;  
New Jain For Boys,Indore,22.721038,75.89863,3,Bombay Hospital; Indore,8Votes,9039156864,9827638501,Tilak Nagar; Goyal Nagar; Sanvid Nagar; Indore; Madhya Pradesh 452018; India,NA,6000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,worst hostel experience thinking booking room hostel just n't; traveled seattle 3 work colleagues seminar; booked room priceline asking 3-star hostel downtown seattle got reservations renaissance supposedly 4-star hostel; disaster half got rooms i-5 freeway building; noise bad large container trucks rumbling night switch rooms; earplugs did n't help block noise; rooms pretty shabby scratched damaged furniture; complained management asked switch rooms told priceline rooms discounted rooms n't expect quality paying guests; ended having pay extra 25 night just adequate rooms.the half group got rooms hostel; construction going early morning quite late night; rooms terribly noisy earplugs cut noise.the staff acted like complaints guests not able sleep noise old news did n't want hear; acted indignant dare complain extremely rude dismissive.also ice machines broken floors search 3 floors working no attempt fix; no minibar mini refrigerator rooms; spot refigerator used removed all.the renaissance bills 4-star hostel; rating based solely hostel lobby 3 stars; based shabby rooms noise lack service rude staff stretched 1 star stay renaissance hostel;  
New SD For Girls,Indore,22.7130261,75.8839443,3.1,M Y Hospital; Indore,7Votes,0731 - 4258322,7566734847,Regency Arcade; G-6; Navratan Bagh Rd; Near Suyash Hospital; Red Church Colony; Manorama Ganj; Indore; Madhya Pradesh 452001; India,"6,500","5,500",5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,tempur-pedic beds; minute literally driving past way hostel decided stay; great; staff extremely helpful accommodating room really comfortable clean location excellent; atmosphere location hostel great choice previously stayed grand hyatt returning; room internal facing left bit loud tempur-pedic mattress huge bonus fun try; way restaurant courtyard desk staff suggested try turned excellent; view deck great; stay;  
New Shree For Boys,Indore,22.7621001,75.8818986,2.9,Scheme No. 78 - Part I; Indore,7Votes,7771000234,7771000231,Sanathan House; Df-23; near Brilliant Convention Centre; Scheme No 74C; Vijay Nagar; Indore; Madhya Pradesh 452110; India,NA,6400,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,unique; great stay; wonderful time hostel monaco; location excellent short stroll main downtown shopping area; pet friendly room showed no signs animal hair smells; monaco suite sleeping area big striped curtains pulled closed nice touch felt cosy; goldfish named brandi enjoyed; did n't partake free wine coffee/tea service lobby thought great feature; great staff friendly; free wireless internet hostel worked suite 2 laptops; decor lovely eclectic mix pattens color palatte; animal print bathrobes feel like rock stars; nice did n't look like sterile chain hostel hostel personality excellent stay;  
Nigams House Boys PG,Indore,22.7211202,75.8906275,3.4,Manorama Ganj; Indore,5Votes,0731 - 2490949,9826448184,34; SHANTI NAGAR; 2ND LINE; near GEETA BHAWAN MANDIR; near PALASIA; Manorama Ganj; Indore; Madhya Pradesh 452001; India,NA,3500,3500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,good service great beds over-priced stayed hostel andra nights; staff helpful stay; place beautifully decorated rooms average size; place quite clean; bed wonderful; usually terrible night sleep hostel great sleep nights row; did not hostel noisy husband did; did hostel bit priced got; billed small luxury hostel really did n't different decor; location great walked hostel; breakfast lola adjoining restaurant excellent; doughnuts; raving; overall enjoyed stay time stay expensive;  
Nilgiri For Boys,Indore,22.7374958,75.8919296,3.3,Press Complex; Indore,12Votes,9893018726,9589477114,4; 54; AB Rd; Press Complex; Indore; Madhya Pradesh 452017; India,NA,NA,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,nice hostel good location hostel kimpton design whimsical vibe fun; staff young casual problem hostel busy stay friendly helpful; group reserved rooms gave connecting rooms fuss; not busy week.the rooms decent size not huge pretty average city hostel; beds nice bathrooms clean bright pocket doors ideal busy bathroom; room design bright cheery flat panel tv; location little noisy fine 5th floor; location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market; parking steep 29/night; evening wine receptions popular;  
Nirmal Anand For Boyss,Indore,22.7460192,75.8812544,3.1,Nanda Nagar; Indore,5Votes,9303099998,9303099998,1209; 11; Nanda Nagar Main Rd; Near Majdur Chowk; Nanda Nagar; Indore; Madhya Pradesh 452001; India,10000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,avoid costs place nightmare; understaffed messy; arrived 10 pm guests deep desk telephone continually ringing employee; later lone employee hired week ago; room clean medicinal smell cleaning fluids overwhelming; hallways elevator dirty littered; place absolutely no appeal not close worth 140.00 night;  
Oasis Boys Villa,Indore,22.6788789,75.8244108,3.3,Rajendra Nagar; Indore,15Votes,9425054749,9826082392,215/B; 10; Surya Dev Nagar; Indore; Madhya Pradesh 452012; India,NA,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great service probably half star star hostel; guest services outstanding employees ask needed help walking getting hostel desk; ate hostel cafe 2nd floor quick bite checking steak sandwich tender tasted; hot water bathroom instant towels nice; paid 100 night priceline think parking hostel 21 dollars night.feel free ask questions;  
Oasis For Boys,Indore,22.6707371,75.828575,3.2,Rajendra Nagar; Indore,18Votes,9425054749,9826082392,3C; Rajendra Nagar; Indore; Madhya Pradesh 452012; India,NA,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great hostel night quick business trip; loved little touches like goldfish leopard print robe; complaint wifi complimentary not internet access business center; great location library service fabulous;  
Oasis For Girls,Indore,22.6707371,75.828575,3.4,Rajendra Nagar; Indore,19Votes,9425054749,9826082392,3C; Rajendra Nagar; Indore; Madhya Pradesh 452012; India,NA,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,best budget hostel seattle; reviews right best place location; easy walking distance; floor n't kept awake street traffic ca n't vouch lower rooms; reception friendly price great seattle.only negative points dingy little bathroom fairly small lift cares;  
Oasis Studio Apartment,Indore,22.6762088,75.8259644,2.8,Rajendra Nagar; Indore,19Votes,9826082392,9425054749,163; Scheme no 97/4; Slice 4 VIP Paraspar Nagar Narmada Square; Scheme 97; Vip Paraspar Nagar; Indore; Madhya Pradesh 452012; India,6000,5500,NA,For CoEd,NonAC,Wifi,Mess,Cleaning,Security,parking fee stinks; husband booked room year half ago wonderful view city lights; unfortunately gotten 11 p.m. did n't chance; wanted thrilled got great deal priceline days ago looked forward nice time weekend.at check-in parking car lot informed park hostel pay 19 night car; told expensive places park area total lie way day walking area; probably checked ahead time honestly ca n't remember time hostel renting room does n't free parking greatly reduced stay; bad customer service.the woman checked not friendly barely polite maybe did n't pay 160 night like offer website 11th floor freeway view; quite noisy not pretty; disappointing; requests ahead time king bed non-smoking room taken care double check check-in.one good thing offered complimentary hot chocolate wakeup tasty; stay closer home affordable hostel does n't stiff parking time;  
Om Sai Ram Hostel,Indore,22.6939541,75.8665271,3.2,Bhawarkuan; Indore,7Votes,9111110999,9300084888,16/20; 2/1; Bhawarkua Main Rd; Sahid Bagat Singh Colony; Ashok Nagar; Mechanic Nagar; Indore; Madhya Pradesh 452001; India,12000,7000,7000,For Boys,AC,Wifi,Mess,Cleaning,Security,fun charming just needed issues stayed marqueen days march tourist trip seattle intention hitting tourist sites having traveled seattle business times; marqueen location perfect seattle center space needle emp sci fi museum children museum theaters intiman seattle rep mccaw hall key arena; charming neighborhood good restaurants great not good selection does wear days rooms appointed having kitchen great; ate room going larry market right near good fresh meals.the staff friendly helpful seen awhile; knowledgeable friendly fake; quick recommendation need; not say good things staff; really stay worthwhile; weekend staff not friendly helpful.the drawbacks bed uncomfortable slept pillows flat hard; does loud event key arena bars street especially weekend avoid room floor facing street costs; n't like stairs avoid room floor; no elevator walking day gets tiring; clear day views floor room facing street gorgeous.you not close downtown pike place waterfront; did walk couple times n't terrible not advisable; did use shuttle times terrific not available stuck; schedule hostel advance ca n't schedule pick town advance chances; weekend staff not helpful regard kept recommending bus; got hostel shuttle available; shuttle really nice addition does make getting easier able schedule it.all nice place stay; showing age little bit charming better chain motel bland rooms decor; definitely recommend marqueen stay;  
Pallavi Shree girls hostel,Indore,22.686232,75.867757,4.2,Bhawarkuan; Indore,7Votes,0731 - 2493272,0731 - 2493272,276; Indrapuri Colony; Indra Puri Colony; Indore; Madhya Pradesh 452014; India,9000,6500,6000,For Girls,AC,Wifi,Mess,Cleaning,Security,expensive little oldy; stayed 1 night work related trip; nice view downtown seattle room bit expensive 225 night room definitely need decoration refreshment; price travelling time right 1990 especially bathroom really needs refit.i understand paying kind money really big city like new-york san francisco not seattle march;  
Param Bhawan For Girls,Indore,22.6879868,75.8626782,3.4,Bhawarkuan; Indore,7Votes,0731 - 4032757,9926357327,AB Road & Bholaram Ustad Marg; Sarvanand Nagar; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,5500,4800,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great location great hostel chose hostel reason location; centrally located city reasonable walk away; not walking distance just short car cab ride away.great things hostel location location location; enjoyed afternoon wine tasting; room tastefully furnished; staff pleasant; requested upper floor room given really liked noise street bit view; bed comfortable.things great hostel lobby tiny; looking place impressive lobby n't it.the wine tasting really enjoyed looking in-depth information wines hit miss; day vineyard really enjoyed talking wines; days hostel staff member little information wines pouring; credit asked question did n't know answer frequently printing information; little bit food served wine pizza crowd wine tasting probably wo n't any.parking hostel parking expensive reviews functional small.pet peeve heck supposed clothes unpack; room stayed small mean small drawers available folded clothes; cabinet mini fridge; room n't nearly room actually n't; thought closet possible; closet smallish hostel number things hanging sale; sale items probably 30 small closet; appreciate trying earn extra buck just ridiculous; appreciate downtown hostels tight space unpack; ended living suitcase did n't appreciate.the restaurant did eat breakfast restaurant dinner; breakfast nothing special bad good; service bad day great; dinner food mediocre better places nearby; pasta arrived table suspected kept warm time; sure fork able lift entire contents just lifting fork.bottom line spite lack storage like hostel lot glad stayed; n't stay unless happened great deal rate great hostels seattle try equal price expensive;  
Paying Guest/PG,Indore,22.7567606,75.888819,3.2,Vijay Nagar; Indore,7Votes,9425317027,9425317027,BF 28 Gurjar Square Scheme No. 54; near Rajshree Hospital; Bhanvarkuan; Scheme No 74; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,4500,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,ca n't recommend considering relocating seattle spent nearly week touring area budget.even price 70 night place expected; room hallways dirty smell urine permeated parking lot homeless people sleeping hedges neighboring business.there economical hostels area try instead;  
Pearl For Girls,Indore,22.6901345,75.8676187,3,Bhawarkuan; Indore,5Votes,9826748358,9926486404,124; Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,NA,"5,800","5,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security,average hostel high price stayed 1 night city view want car park bed nice comfortable rooms just little high priced; nice view lobby loan want eat restraunt;  
Pearl Girls hostel,Indore,22.6819541,75.8638205,3.75,Bhawarkuan; Indore,5Votes,0731 - 2537150,0731 - 2537150,Bholaram Ustad Marg; Nanak Palace; Indore; Madhya Pradesh 452014; India,5500,5500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,excellent stay staff friendly helpful; nice hostel price; supermarkets restaurants close proximity; ideal location space needle; breakfast included added bonus; rooms big spacious; overall nice experience relaxing;  
PG For Boys,Indore,22.7532848,75.8936962,3.2,Vijay Nagar; Indore,6Votes,9893631116,9893631116,41 -A; Sheetal nagar; near rana girls hostel ;Vijay nagar;in; behind BCM heights; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,2500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,decent room affordable price downtown seattle went visit friend seattle mid-september game husky stadium; chose place looking various websites affordable hostel room downtown; place fit bill.the room average typical midgrade hostel; clean; real downside walls did not hold sound outside; heard lot noise rooms outside; fortunately slept well.the staff nice willing hold bags hours checked out.there restaurant hostel ate breakfast food pretty good.this hostel 3 blocks westlake center terminus s lake union streetcar monorail seattle center space needle area; blocks pike place market hill;  
Placio,Indore,22.7559257,75.8889281,4,Vijay Nagar; Indore,7Votes,7053109531,7053109531,Plot No 196 EH Sector EK; Scheme No.54; Scemen No 54; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,6000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,gem; just returned second delightful stay year mayflower park; 5th floor suite lovely sitting room separate bedroom; husband normally rises earlier perfect arrangement; wet sink bar coffee maker sitting room allows sit desk write enjoys morning coffee; comfy sofa armchair ottoman cocktail table windows sides make room pleasant place hang; enjoyed terrific lunch breakfast day andaluca nightcap oliver baseball game; rooms attractive friendly environments; hostel real winner feel totally home staying;  
Pragati For Girls,Indore,22.7322578,75.8893409,3.2,LIG Square; Indore,34Votes,9893555665,9752173438,AB Rd; near L.I.G Square; Rss Nagar; Indore; Madhya Pradesh 452008; India,7000,5700,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,good location hostel located; rooms quite cozy comfy bed; bathroom fine said toilet flush really noisy likely wake half middle night.we did door adjcent room really gotdisturbed night door antics quick phone reception 3am soon sorted; real grip attitude reception desk manager forget charm brick; welcoming terribly polite having just arrived seattle vancouver shocked disappointed welcometo city; tip hostel management send guyon charm course maybe just somebody; ok hostel convenient town.cheers;  
Preeti Girls Hostel,Indore,22.6898629,75.8665781,3.43,Bhawarkuan; Indore,7Votes,0731 - 4257838,0731 - 4257838,133; Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,9000,7200,6800,For Girls,NonAC,Wifi,Mess,NA,NA,great customer service daughter year old daughter stayed seattle pacific hostel just weeks daughter husband separating; emotional time; staff hostel did possible make daughter comfortable; actually care emotional; having worked hospitality entire life rare staff attentive young woman toddler; seattle area need welcoming environment stay seattle pacific hostel;  
Princess Nest For Girls,Indore,22.7530419,75.8935306,2.7,Vijay Nagar; Indore,7Votes,9981738817,9981738817,7/9; Ida Officers Colony; Vijay Nagar; Indore; Madhya Pradesh 452010; India,2000,4800,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,not recommend staying; staff routinely indifferent point rude; parking arrangement public garage hill corner remarkably inconvenient; mobility issues parking hostel challenging maneuver; rooms adequate not maintained cleaned particularly; hostel not bad easily better seattle; definitely;  
Prograssive For Boys,Indore,22.7217581,75.863183,3,M G Road; Indore,5Votes,7869957087,9827222348,15-A; near Gurudwara & District Court; Sikh Mohalla; Indore; Madhya Pradesh 452007; India,7000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,happier reservation hostels minute taxes paid 200 room; free coffee hot chocolate request wake-up; stayed similar boutique-style hostels cities in-room coffee fan bathroom non-chipping tiles bathroom; personally not recommend hostel desk personnel helpful reasonably friendly; bell personnel left waiting 90+ weather half hour said right car;  
Queens Campus For Girls,Indore,22.6919473,75.8660795,2.8,Bhawarkuan; Indore,6Votes,0731 - 4087209,0731 - 4087209,2-3; Scheme No. 44; Bhawarkua Square; AB Rd; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,10000,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great boutique hostel stayed hostel andra business trip october 2007. walking distance convention center prime shopping seattle; hostel not directly serviced downtown airporter shuttle airport downtown hostels hostel immediately door warwick stop walk 1/2 block andra; lovely boutique hostel appears recently remodeled; modern lobby cozy fireplace; desk staff helpful friendly; room spacious 2 queen beds sitting area bar area; decor modern ikea-esque; view neighboring construction site unfortunately interestingly really heard annoying sounds construction; pretty small bathroom compared hostels nice; frette towels face stockholm bath products; small business center 2 computers printers free charge; did n't use gym ca n't comment; pay daily rate in-room wireless; lots great eating options walking distance; restaurant lobby lola amazing; tom douglas establishment mediterranean theme definitely lived hype; tom douglas restaurant street dahlia lounge amazing donuts menu dessert served warm marscarpone cheese green apple butter; amazing; adjacent dahlia bakery great cup morning coffee pastry; overall definitely stay visiting seattle;  
QUEENS COURT (Girls & Working women hostel),Indore,22.6960726,75.866007,4,Bhawarkuan; Indore,6Votes,0731 - 2490162,0731 - 2490162,Queens Court girls hostel; Natural Corner; 9 ashok nagar; Bhawarkua main road Landmark- PMC bank; opposite - Bharat petrol pump; Near ICICI Bank; Ashok Nagar; Indore; Madhya Pradesh 452001; India,12000,10000,8000,For Girls,NonAC,NonWifi,Mess,Cleaning,Security,cheap clean close downtown stayed week beginning 2008. seriously really great hostel seattle; price right location brilliant staff friendly helpful bob works afternoon/evenings goldmine information eat stayed room bathroom just sink 5th floor view sound foreground view rooftop carpark; room big clean bed comfortable tv zillion channels; tiny bit annoying wifi does n't really work rooms accessed lobby; shared bathrooms cleaned everyday did n't smell bad; floor stayed not renovated floor sure ask renovated room; hostel old hallways bit dark overall hostel does n't look like new modern/contemporary hostel; decor kind old location 2 blocks pike place market price definitely makes; definitely recommend place; stay grab pastry coffee pike place market breakfast;  
Radhika Residency Girls Hostel,Indore,22.694581,75.8680489,3.4,Vijay Nagar Square; Indore,6Votes,0731 - 2363770,9425937700,12; Vidya Nagar; Indore; Madhya Pradesh 452001; India,4500,4500,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,good hostel deal rack rates hostel 250-350; price little disappointed; got room package deal 100/ night; price great hostel; rooms decorated quirky stylish; room basic king room; little small not terrible; facing courtyard really just typical urban building air shaft significantly perked nice mural country scene; kept traffic noise surprised relatively loud noise courtyard morning; quality toilettries aveda offer lots things free hair dryer robes toothpaste fan little things forget not able pack; sheets bed comfortable; towels average pretty soft not luxurious; usual over-priced mini-bar; better provide bottle water neat local snack free arrival fit quirky different better kimpton hostel chain brand image; free nightly wine reception lobby local washington red white crust pizzas; nice touch; like socialize guests great opportunity; prefer hang friends fine; concierge runs wine tasting helpful ideas restaraunts things; service fine; no compliants; no amazing kudos; check smooth; valet service usually pretty prompt did forget car sat realized not getting note valet 35/day taxes not including gratuity; higher hostels convenient; little disappointed got no upgrade special treatment honeymoon maybe expect come budget package; housekeeping certaintly adequate; place spotless arrived; daily cleaning thorough; expected turndown service place nice did not; recommend implement in-room coffee makers; coffee shops virtually corner seattle free coffee service small paper thimbles lobby room coffee makers convenient; location excellent; easily walk waterfront/ pike place market area; walked space needle restaurants south-end green lake feeling like hiked far; great restaurants classy bars blocks; great shopping blocks; super easy access i-5; recommend associated restaraunt tulio breakfast; interesting italian themed egg dishes; dinner; good loads good restaurants walking distance; overall good not great hostel; deal; paying rack better options;  
Raghukul For Girls,Indore,22.6970857,75.8771744,3.7,Navlakha; Indore,10Votes,0731 - 2400754,9425314579,51/2/2; AB Road; Khandelwal Navlakha Road; Near Petrol Pump; behind BCM City; Khandelwal Nagar; Navlakha; Indore; Madhya Pradesh 452001; India,NA,5200,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,pay location location perfect walking distance; lot stairs bags problem no elevator available clean noisy woodden floors hear rooms street; breakfast included good; conclusion good compromise;  
Ratan Hostel,Indore,22.6901345,75.8676187,4.5,Bhawarkuan; Indore,8Votes,9425054749,9826082392,124; Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,10000,6500,5000,For Boys,AC,Wifi,Mess,Cleaning,Security,great seattle location great downtown hostel; parking problem; read reviews hostel parking 35 overnite; parked block away convention center 18.short 6 block walk pike place market; n't miss excellent dinner hostel daily grill definitely stay;  
Ratnadevi Girl's Hostel,Indore,22.6900329,75.8679331,4.6,Bhawarkuan; Indore,10Votes,0731 - 2400754,9425314579,133; Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,9000,7000,6500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,not designed business stayed 2 nights executive seattle business; rooms small expected boutique hostel; not prepared size bathroom; literally step stall shower close door; room obviously suite time door adjoining room blocked large tv hear word conversations neighbors having; hostel offers free wireless nice no desk work; bed amazing; comfortable; nice pillows; great comforter; air conditioning worked quite; seattle best coffee house lobby great bonus; plus ca n't beat location price.if complaints stay; sacrifice amenities price charm; minor compared quality service received hostel; prepared poor service called confirm late arrival answered phone plain hello instead announcing hostel; arrived 11:00 pm 2 young men counter moved hold door help bags; lobby steps elevator checking moved help bags stairs; literally stood desk watched struggle; housekeeping staff not better; room looked like just neatened not cleaned; room coffee pot not washed; carpet not vacuumed; hopefully owner hostel read review shape staff;  
Riddhi Siddhi For Girls,Indore,22.7129216,75.8751092,2.9,Madhumilan Square; Indore,7Votes,0731 - 3200552,0731 - 3200552,UG 11 Riddhi Siddhi tower; 151; RNT Marg; near LIC office; Opp. Dawa Bazar; Chhawni; Indore; Madhya Pradesh 452001; India,NA,5000,4700,For Girls,NonAC,Wifi,Mess,Cleaning,Security,nice hostel husband stayed crown plaza spring break; arrival told given room beds booked king bed; matter resolved quickly; staff helpful met requests; room large clean quiet great view; location hostel decent; overall great experience; really no complaints said elevators bit slow; stay;  
S B For Boys,Indore,22.6323173,75.8085166,3.4,Rajendra Nagar; Indore,10Votes,9303797324,9329601998,97; AB Rd; Rau; Indore; Madhya Pradesh 453331; India,NA,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,love andra; updated trendy hostel perfect location; stayed andra times great experience; rooms updated clean spacious; staff friendly helpful; restaurant convenient choices food vacinity; prefer stay andra anytime seattle;  
S B For Boys,Indore,22.6646664,75.8268243,3.4,Rajendra Nagar; Indore,7Votes,9303797324,9303797324,1A; AB Rd; Rajendra Nagar; Indore; Madhya Pradesh 452012; India,NA,3500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great location nice hostel second stay hostel; amazing perspective changes depending price; time stayed sheraton towers baseball star weekend years paid 300.00; time used priceline stayed 100.00 plus tax; 100.00 night place steal; wonderfully central location; street monorail convention center great shopping; hostel offers solid business class accomodations; price break definitely recommend place;  
S M J For Girls,Indore,22.7605209,75.9125018,3.1,Bombay Hospital; Indore,9Votes,0731 - 2557544,7566566878,QW67+622; Mahalaxmi Nagar; Indore; Madhya Pradesh 452010; India,NA,6000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,nice rooms shame gloomy hostel thing notice hostel gloomy lobby; dark wood low lighting; forget trying read breakfast restaurant unless close window need light; little natural light communal areas biggest criticism hostel; rooms regular room not suite just fine extremely comfortable bed lovely linens nice touches real coffee real coffee press; view parking lot concrete tried change rooms said rooms poor views old hostel; like places staff great; room n't cleaned 5pm day man desk unapologetically told sunday expected; 300 night expect better; lot people talk character place certainly better big chains august just felt gloomy;  
Sai Ashray For Girls,Indore,22.7577065,75.9145344,2.9,Bombay Hospital; Indore,7Votes,9425056448,9827097623,near Bombay Hospital; Sector R; Mahalaxmi Nagar; Indore; Madhya Pradesh 452010; India,NA,NA,2500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,wonderful time sheraton stayed sheraton auguest 20 2007. pleasantly surprised experience; emailed hostel earlier requesting king room new tower; did n't really expect receive asked afterall payed 125 priceline; checkin pleasantly suprised assigned king room new tower; room lovely; comfy bed lovely view nicer tv home; bathroom bright clean comfortable; location convenient; concierge helpful helping city bus king street station; not hesitate stay;  
Sai Ashray For Girls,Indore,22.7379359,75.8925957,3.1,Press Complex; Indore,19Votes,0731 - 4215388,9827272104,301; 3rd Floor; Swadesh Bhawan; AB Rd; Near Dainik Bhaskar Press; Swadesh Bhavan; Press Complex; Indore; Madhya Pradesh 452008; India,NA,NA,4800,For Girls,NonAC,Wifi,Mess,Cleaning,Security,ok not great hostel heart downtown walking distance need; stayed overnight going play paramount nice walk hostel; bed comfy room service pretty fast; little convenience store block away avoid mini bar prices; agree reviewers room match price pay; used price feature payed 1/2 price listed westin website; ended small room right elevators hear people talking hall;  
Sai Kripa For Boys,Indore,22.7174885,75.8959749,3.3,New Palasia; Indore,6Votes,9302128046,9993598055,12; Bhaktavar Ram Nagar Rd; Near Salasar Balaji Mandir; Tilak Nagar Extension; Tilak Nagar; Indore; Madhya Pradesh 452018; India,NA,6000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,comfortable apt.-style hostel enjoyable stay price amenities; european-style hostel; building old furniture classic style comfortable; no a/c upper floors able open windows; terrific grocery nearby metropolitan market good restaurants; seattle center space needle experience music project science center; far pike market waterfront inn shuttle available day; parking tight; limited hostel spaces usually parking street fee 1-2 hours; parking 6 p.m. free streets car 8 amreported slow toilet fixed immediately; staff responsive;  
Sai Kripa For Girls,Indore,22.7136773,75.873366,3.1,Madhumilan Square; Indore,15Votes,9302128046,9993598055,Near Hanuman Mandir Madhu Milan Square; Kibe Compound; Chhoti Gwaltoli; Indore; Madhya Pradesh 452001; India,NA,NA,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,nice hostel stayed hostel times past; stay new tower; rooms new tower definitely nicer original tower; brighter fresher look; original tower rooms fine just n't nice; pool area offers great view city; location hostel perfect parking expensive hostel stayed seattle.my complaints minor construction going lobby area slight feel construction zone areas hidden black curtains; minor guess finished end september; restaurant lounge area bit disconnected hostel; tend prefer hostels lobby bars does not;  
Sainath For Girls,Indore,22.7174505,75.8901815,3.7,Geeta Bhawan; Indore,7Votes,9407152219,9407152219,9C; Geeta Bhavan; Seva Sardar Nagar; Indore; Madhya Pradesh 452001; India,7000,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,recommend hostel stayed university inn june 3 4. directions airport great no problem finding inn; parking bit cramped did n't use car did n't matter.the staff friendly helpful; room clean comfortable quiet appreciated.we went sightseeing finished called inn sent shuttle pick great accomodation; stay visiting seattle n't ask nicer cleaner moderately priced hostel university inn; thanks staff;  
Sapphire For Girls,Indore,22.6989386,75.8639773,3.1,Tower Square; Indore,7Votes,0731 - 4080029,0731 - 4080029,908; Swami Pritamdas marg Tower Square; Opp Old Arti Sweets; next to Pishori Dhaba; Khatiwala Tank; Indore; Madhya Pradesh 452001; India,"5,400","5,000","4,800",For Girls,NonAC,Wifi,Mess,Cleaning,Security,walk pike place market breakfast seattle native pleased bid win sixth avenue inn onpriceline; motel just motel right middle downtown seattle; think remember seattle world fairin 1962; bit dated bathroom did n't shelf space imo overlook type thing amazing safe location; think returned 60 drive easy access i-5 important location unbeatable no long waits elevators walks endless lobbies; poof door way pike place market belltown downtown monorail; pro football baseball venues 15 min bus ride south; exploring downtown seattle goal want play dollarsinstead paying high rise view try motel;  
Saraswati For Girls,Indore,22.7208318,75.8719937,2.3,Reagal Square; Indore,7Votes,8109779026,8109779026,16; 1; Dhenu Market Rd; Nehru Park 2; rigal; Indore; Madhya Pradesh 452003; India,NA,2600,2500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,average nice stay hostel amazing location great restaurants gourmet grocery cinerama 1 block radius; macy nordstroms shopping blocks; mattress comfy; amazing sweeping view space needle lake union downtown elliott bay; great pool gym facility; room service nothing write home; n't pizza; parking 21; yikes; old building nicely remodeled;  
Satguru Girls Hostel,Indore,22.6955838,75.8680809,3.4,Bhawarkuan; Indore,8Votes,0731 - 4031050,0731 - 4031050,001; Bhawarkua Main Rd; Vidya Nagar; Indore; Madhya Pradesh 452001; India,14000,7000,6000,For Girls,NonAC,NonWifi,Mess,Cleaning,Security,great deal nice stayed night recently meeting nearby pleased; able traditional room shower adequate purposes; shower roomy bathroom perfectly clean; actually entire room did obsessive little heart good clean crisp; bed comfy sheets crisp pillows just right.the room not air conditioned windows opened lovely sleep fresh air; traffic noise fell asleep certainly did not disturb me.the snack afternoon nice surprise breakfast quite fine coffee drinkable not case hostel breakfasts..i really pleased reasonably priced hostel appealing kept; return consider staying need downtown;  
